id	game_id	value	daily_double	round	category	clue	response
134241	2315	200	f	J!	FILL IN THE HISTORY _____	British king who had 6 wives:Henry ____	Henry VIII
134242	2315	200	f	J!	CELEBRITY SISTER SURNAMES	Britney &Jamie Lynn	Spears
134243	2315	200	f	J!	HOLIDAYS	In 1621 Mass. Gov. William Bradford declared a day of prayer, feasting & rejoicing which became this holiday	Thanksgiving
134244	2315	200	f	J!	THE STATE IT'S IN	Buccaneer Days in Corpus Christi,the San Jacinto Monument	Texas
134245	2315	200	f	J!	TIME FOR CLASS	P.E.:Practice hard to become a Hall of Famer in this sport, like Cal Ripken Jr.	baseball
134246	2315	200	f	J!	ANIMAL WORDS & PHRASES	"Someone who pretends to be your friend is this ""in the grass"""	a snake
134247	2315	400	f	J!	FILL IN THE HISTORY _____	Adopted July 4, 1776:The ____ of ____	the Declaration of Independence
134248	2315	400	f	J!	CELEBRITY SISTER SURNAMES	Hilary &Haylie	Duff
134249	2315	400	f	J!	HOLIDAYS	Memorial Day was first observed in 1866 to honor the dead of this war	the Civil War
134250	2315	400	f	J!	THE STATE IT'S IN	Kennedy Space Center,Sanibel Island	Florida
134251	2315	400	f	J!	TIME FOR CLASS	"Science:""Rover"" around & discover that a ""year"" on this planet lasts 687 days"	Mars
134252	2315	400	f	J!	ANIMAL WORDS & PHRASES	"Bart Simpson would try to calm people by telling them, ""don't have"" one of these animals"	a cow
134253	2315	600	f	J!	FILL IN THE HISTORY _____	Centuries-long Iberian prosecution of heretics:The Spanish ____	the Spanish Inquisition
134254	2315	600	f	J!	CELEBRITY SISTER SURNAMES	Mary-Kate &Ashley	Olsen
134255	2315	600	f	J!	HOLIDAYS	A 1968 law passed by Congress stipulated that this holiday be celebrated on the second Monday in October	Columbus Day
134256	2315	600	f	J!	THE STATE IT'S IN	Hearst Castle,the Monterey Peninsula	California
134257	2315	600	f	J!	TIME FOR CLASS	Shop:No, you will most certainly not be working with the gas-flame device called an acetylene this	torch
134258	2315	600	f	J!	ANIMAL WORDS & PHRASES	"Going back to the Bible, a minor problem that ruins something bigger is this insect ""in the ointment"""	a fly
134259	2315	800	f	J!	FILL IN THE HISTORY _____	Old name for Russia & 14 other republics until 1991:The ____ Union	the Soviet Union
134260	2315	800	f	J!	CELEBRITY SISTER SURNAMES	Ashlee &Jessica	Simpson
134261	2315	800	f	J!	HOLIDAYS	This May holiday was honored in 1934 by a stamp featuring a famous painting by Whistler	Mother\\'s Day
134262	2315	800	f	J!	THE STATE IT'S IN	The Koyukuk Valley,Gates of the Arctic National Park	Alaska
134263	2315	800	f	J!	TIME FOR CLASS	"French:""Le livre est sur la table"" means this is on the table; pick it up & start learning"	the book
134264	2315	800	f	J!	ANIMAL WORDS & PHRASES	"A little-known political candidate or Oscar nominee is called a ""dark"" this"	horse
134265	2315	1000	f	J!	FILL IN THE HISTORY _____	Deadly period of the French Revolution:The ____ of Terror	the Reign of Terror
134266	2315	1000	f	J!	CELEBRITY SISTER SURNAMES	Dakota &Elle	Fanning
134267	2315	1000	f	J!	HOLIDAYS	This holiday was established in 1872 because the State of Nebraska lacked a sufficient number of trees	Arbor Day
134268	2315	1000	f	J!	THE STATE IT'S IN	The French Quarter,the Capitol Grounds grave of Huey Long	Louisiana
134269	2315	1000	f	J!	TIME FOR CLASS	"English:Learn that he left Princeton without a degree in 1917 & 8 years later penned ""The Great Gatsby"""	F. Scott Fitzgerald
134270	2315	1000	f	J!	ANIMAL WORDS & PHRASES	"If you meet the ""loan"" variety of this fish, watch your wallet"	a shark
134271	2315	400	f	DJ!	ON THE BOOKSHELF	"In ""New Moon"", the second book in the ""Twilight"" saga, Jacob Black becomes one of these, enemy of the vampires"	a werewolf
134272	2315	400	f	DJ!	YOU'RE SO SPORTY	In Super Bowl XLIII Santonio Holmes won the MVP award for this team	the Steelers
134273	2315	400	f	DJ!	THE WORLD OF M. SASEK	You're looking at the Houses of Parliament in this city	London
134274	2315	400	f	DJ!	THE LAW	States with 75-mph these on their highways tend to be wide open ones, like Utah & Wyoming	speed limits
134275	2315	400	f	DJ!	SCIENCE	Of copper, iron or aluminum, the one that would be most attracted to a magnet	iron
134276	2315	400	f	DJ!	"""KID"" TALK"	The human body has 2 of these internal organs	the kidneys
134277	2315	800	f	DJ!	ON THE BOOKSHELF	"In books by Jeff Kinney, Greg Heffley writes the ""Diary of"" this title type of ""Kid"""	Wimpy
134278	2315	800	f	DJ!	YOU'RE SO SPORTY	Brothers Jarit & Jimmie Johnson both compete in this sport	NASCAR
134279	2315	800	f	DJ!	THE WORLD OF M. SASEK	Ride the unusual boat seen here when you visit this Italian city	Venice
134280	2315	800	f	DJ!	THE LAW	"Criminals who are clearly this, a synonym for ""culpable"", may plead this to avoid a trial"	guilty
134281	2315	800	f	DJ!	SCIENCE	In a month, this object ranges from about 225,000 miles to 252,000 miles from the Earth	the Moon
134282	2315	800	f	DJ!	"""KID"" TALK"	"This former Mrs. Tom Cruise played the scary Mrs. Coulter in ""The Golden Compass"""	Nicole Kidman
134283	2315	1200	f	DJ!	ON THE BOOKSHELF	"Shel Silverstein's poems & drawings are collected in ""Where"" this ""Ends"""	the Sidewalk
134284	2315	1200	f	DJ!	YOU'RE SO SPORTY	2009 began with Lorena Ochoa clubbing the competition as the No. 1 ranked player in this sport	golf
134285	2315	1200	f	DJ!	THE WORLD OF M. SASEK	Here's Saint Patrick's Cathedral in this European capital city where Saint Patrick is a big deal	Dublin
134286	2315	1200	f	DJ!	THE LAW	This word for someone who can testify about events he saw includes a 3-letter body part	an eyewitness
134287	2315	1200	f	DJ!	SCIENCE	(Jimmy of the clue tries to crack a whip.)  Like a jet plane traveling faster than mach 1, a whip makes a cracking noise because it's traveling faster than the speed of this	sound
134288	2315	1200	f	DJ!	"""KID"" TALK"	Title of a Robert Louis Stevenson book about a boy's abduction	Kidnapped<
134289	2315	1600	f	DJ!	ON THE BOOKSHELF	"""Inkspell"" & ""Inkdeath"" are sequels to this book"	Inkheart<
134290	2315	1600	f	DJ!	YOU'RE SO SPORTY	"At age 24 this Cleveland Cavalier says he's just starting to get his ""man-strength"""	LeBron James
134291	2315	1600	f	DJ!	THE WORLD OF M. SASEK	Don't get fooled into thinking you can buy this New York City bridge seen here	Brooklyn Bridge
134292	2315	1600	f	DJ!	THE LAW	To convict someone may mean to put him in jail; to do this -vict means to put someone out of his home	evict
134293	2315	1600	f	DJ!	SCIENCE	By definition, it's what a carnivore eats	meat
134294	2315	1600	f	DJ!	"""KID"" TALK"	"""The Block"" is the 2008 comeback album by the band formed in 1986 under this name"	New Kids on the Block
134295	2315	2000	f	DJ!	ON THE BOOKSHELF	"""The Tale of"" this big-eared guy is ""the Story of a Mouse, a Princess, Some Soup and a Spool of Thread"""	Despereaux
134296	2315	2000	f	DJ!	YOU'RE SO SPORTY	This 2008 Olympic all-around female gymnastics champion was born in Russia but competes for the United States	Nastia Liukin
134297	2315	2000	f	DJ!	THE WORLD OF M. SASEK	Many ultra-orthodox Jews live in Meah She'arim in this city	Jerusalem
134298	2315	2000	f	DJ!	THE LAW	"Add 1 letter to ""statue"" to get this word for a law passed by the legislature"	statute
134299	2315	2000	f	DJ!	SCIENCE	(Sarah of the Clue Crew levitates a ping-pong ball over a hair dryer.)  What goes up stays up when the force of air moving up from the hair dryer equals this force pulling down on the ping-pong ball	gravity
134300	2315	2000	f	DJ!	"""KID"" TALK"	It means to slip or slide; if you do it, you might leave a mark	skid
